epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,183.936,0.85814,0.91818,1,0.364,0.0676875,0.000326389,0.000326389
2,384.548,0.26641,0.98636,1,0.04799,0.0346744,0.00064666,0.00064666
3,588.107,0.16229,0.96818,1,0.15727,0.00164818,0.000953731,0.000953731
4,789.468,0.12018,1,1,0.00867,0.0009406,0.0009406,0.0009406
5,991.143,0.10557,1,1,0.00845,0.0009208,0.0009208,0.0009208
6,1193.78,0.04951,1,1,0.00644,0.000901,0.000901,0.000901
7,1397.33,0.05233,1,1,0.0045,0.0008812,0.0008812,0.0008812
8,1598.75,0.0392,1,1,0.00075,0.0008614,0.0008614,0.0008614
9,1800.8,0.0214,1,1,0.00096,0.0008416,0.0008416,0.0008416
10,1993.62,0.01666,1,1,9e-05,0.0008218,0.0008218,0.0008218
11,2180.43,0.01104,1,1,0.00041,0.000802,0.000802,0.000802
12,2350.49,0.01561,1,1,0.00029,0.0007822,0.0007822,0.0007822
13,2520.47,0.01107,1,1,0.00025,0.0007624,0.0007624,0.0007624
14,2688.36,0.00837,1,1,0.00044,0.0007426,0.0007426,0.0007426
15,2856.05,0.0155,1,1,6e-05,0.0007228,0.0007228,0.0007228
16,3023.4,0.01756,1,1,7e-05,0.000703,0.000703,0.000703
17,3190.84,0.01563,1,1,0.00052,0.0006832,0.0006832,0.0006832
18,3358.76,0.00677,1,1,0.00015,0.0006634,0.0006634,0.0006634
19,3526.13,0.01495,1,1,4e-05,0.0006436,0.0006436,0.0006436
20,3693.87,0.01537,1,1,0.0001,0.0006238,0.0006238,0.0006238
21,3861.18,0.02985,1,1,4e-05,0.000604,0.000604,0.000604
22,4029.3,0.00798,1,1,5e-05,0.0005842,0.0005842,0.0005842
23,4196.53,0.01096,1,1,0.00028,0.0005644,0.0005644,0.0005644
24,4363.89,0.00699,1,1,0.00046,0.0005446,0.0005446,0.0005446
25,4530.82,0.00562,1,1,0.00015,0.0005248,0.0005248,0.0005248
26,4698.3,0.00816,1,1,7e-05,0.000505,0.000505,0.000505
27,4865.84,0.00334,1,1,5e-05,0.0004852,0.0004852,0.0004852
28,5033.45,0.00455,1,1,4e-05,0.0004654,0.0004654,0.0004654
29,5200.86,0.00577,1,1,3e-05,0.0004456,0.0004456,0.0004456
30,5368.15,0.00836,1,1,5e-05,0.0004258,0.0004258,0.0004258
31,5535.64,0.01246,1,1,0.00222,0.000406,0.000406,0.000406
32,5702.86,0.0136,1,1,0.00078,0.0003862,0.0003862,0.0003862
33,5870.43,0.00629,1,1,3e-05,0.0003664,0.0003664,0.0003664
34,6038.48,0.00451,1,1,3e-05,0.0003466,0.0003466,0.0003466
35,6206.77,0.00832,1,1,4e-05,0.0003268,0.0003268,0.0003268
36,6374.45,0.00293,1,1,0.00011,0.000307,0.000307,0.000307
37,6541.83,0.01027,1,1,7e-05,0.0002872,0.0002872,0.0002872
38,6710.27,0.01115,1,1,3e-05,0.0002674,0.0002674,0.0002674
39,6877.32,0.00139,1,1,2e-05,0.0002476,0.0002476,0.0002476
40,7045.29,0.0062,1,1,3e-05,0.0002278,0.0002278,0.0002278
41,7212.99,0.00153,1,1,4e-05,0.000208,0.000208,0.000208
42,7380.79,0.00145,1,1,3e-05,0.0001882,0.0001882,0.0001882
43,7548.27,0.00161,1,1,9e-05,0.0001684,0.0001684,0.0001684
44,7715.87,0.00519,1,1,4e-05,0.0001486,0.0001486,0.0001486
45,7883.1,0.00585,1,1,2e-05,0.0001288,0.0001288,0.0001288
46,8051.24,0.0018,1,1,1e-05,0.000109,0.000109,0.000109
47,8218.76,0.00139,1,1,1e-05,8.92e-05,8.92e-05,8.92e-05
48,8385.92,0.00219,1,1,1e-05,6.94e-05,6.94e-05,6.94e-05
49,8553.35,0.00463,1,1,1e-05,4.96e-05,4.96e-05,4.96e-05
50,8721,0.00106,1,1,2e-05,2.98e-05,2.98e-05,2.98e-05
